RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Sr,6-8,Micah Peavy,Georgetown,BE,98.8,5.8,8.4,115.5,27.6,54.5,55.8,4.7,15.6,27.0,11.4,1.3,4.3,24.7,29-61,0.475,8.0,13-28,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Jr,6-7,Tyler Nickel,Vanderbilt,SEC,70.0,5.8,9.3,148.4,13.6,64.6,66.1,3.3,6.2,7.9,0.0,3.5,0.8,14.6,1-9,0.111,13.2,17-32,0.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sr,6-4,Kobe Johnson,Saint Louis,A10,86.8,5.8,3.3,161.6,7.9,68.4,68.4,0.9,10.2,17.5,0.0,1.8,0.4,0.0,7-11,0.636,3.5,4-8,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sr,5-8,Duke Deen,Bradley,MVC,76.9,5.8,11.5,134.9,24.2,68.1,69.9,5.0,10.6,17.6,14.5,1.2,3.0,17.0,5-11,0.455,18.0,18-36,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Sr,6-4,Cameron Hildreth,Wake Forest,ACC,72.2,5.7,6.3,123.4,24.0,59.5,64.1,3.3,11.1,10.1,10.6,0.0,2.6,47.6,22-32,0.688,5.1,2-10,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Jr,6-3,Nate Pickens,UC Riverside,BW,69.0,5.7,8.9,145.7,24.9,70.5,76.7,6.1,12.7,14.2,14.2,0.0,1.5,64.1,14-21,0.667,9.1,9-18,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,So,6-6,Kennard Davis Jr.,Southern Illinois,MVC,88.0,5.7,7.8,128.1,26.3,59.3,63.1,5.5,10.9,20.3,9.6,1.6,1.3,27.1,23-36,0.639,9.7,8-23,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,So,6-3,Sam Brown,Penn,Ivy,90.5,5.7,4.0,127.7,25.7,57.2,62.1,2.1,7.4,20.0,8.1,0.5,1.3,28.9,36-62,0.581,9.1,13-35,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Jr,5-10,Honor Huff,Chattanooga,SC,93.4,5.7,1.6,139.9,19.4,72.3,74.5,0.7,2.6,5.8,8.6,0.6,1.0,51.8,6-10,0.600,15.4,23-46,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Sr,6-6,Tytan Anderson,Northern Iowa,MVC,86.2,5.7,10.1,123.3,27.5,61.5,64.4,9.2,15.1,17.1,14.3,3.3,2.2,44.2,32-51,0.627,0.4,0-1,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
